temperature,timestamp
"483,30,33;",2015-03-05T02:42:27.881Z
"482,29,33;481,29,31;230,33,27;486,31,28;",2015-03-05T02:42:10.145Z
"484,30,25;3912,31,23;124,32,22;487,36,20;482,32,27;481,30,25;486,31,23;485,31,29;230,35,23;",2015-03-05T01:38:13.153Z
"487,36,20;484,30,25;3912,31,23;124,32,22;481,31,24;482,32,27;230,35,23;485,31,29;",2015-03-05T01:37:53.017Z
"230,35,23;483,31,25;",2015-03-05T01:37:15.250Z
"486,31,23;485,32,28;230,35,23;483,31,25;484,31,24;487,36,20;3912,32,22;124,32,21;",2015-03-05T01:27:23.670Z
"481,31,23;482,33,25;486,32,22;485,32,28;230,36,22;483,32,24;487,36,20;3912,32,22;124,32,21;",2015-03-05T01:27:03.240Z
"486,32,22;485,32,28;230,36,22;487,36,19;484,31,24;124,32,21;3912,32,22;",2015-03-05T01:26:43.447Z
"481,32,22;482,33,25;486,32,22;485,33,26;230,36,22;483,32,23;484,31,23;",2015-03-05T01:16:40.345Z
"482,33,25;481,32,22;230,36,22;486,32,22;485,33,26;483,32,23;484,31,23;487,36,19;",2015-03-05T01:16:20.116Z
"484,31,23;3912,32,21;487,36,19;124,33,20;",2015-03-05T01:15:42.214Z
"484,32,22;3912,33,20;124,33,19;482,34,24;481,32,21;486,32,21;485,33,25;230,36,21;",2015-03-05T01:05:52.860Z
"487,37,18;3912,33,20;484,32,22;124,33,19;481,32,21;482,34,24;486,32,21;230,36,21;485,33,25;",2015-03-05T01:05:32.707Z
"485,33,25;230,36,21;483,33,22;",2015-03-05T01:04:54.845Z
"482,36,19;481,34,17;486,35,16;485,35,22;483,35,18;230,37,20;487,37,17;484,34,17;3912,34,17;",2015-03-05T00:22:01.355Z
"487,37,17;484,34,17;3912,34,17;124,35,16;",2015-03-05T00:21:23.401Z
"230,37,20;487,38,16;3912,35,16;484,35,16;124,35,16;481,35,16;482,36,19;485,35,21;",2015-03-05T00:11:31.340Z
"230,37,20;487,38,16;484,35,16;3912,33,19;124,35,16;481,35,16;482,36,19;486,35,16;485,35,21;",2015-03-05T00:11:12.482Z
"481,35,16;485,35,21;486,35,16;483,35,17;230,37,20;",2015-03-05T00:10:33.305Z
"487,38,16;484,35,16;3912,35,15;124,35,15;482,37,18;481,35,15;486,35,15;485,36,20;",2015-03-05T00:00:50.578Z
"230,37,20;487,38,16;484,35,16;3912,35,16;124,35,15;481,35,15;482,37,18;486,35,15;485,36,20;",2015-03-05T00:00:30.617Z
"481,35,15;482,37,18;486,35,15;485,36,20;483,36,16;",2015-03-04T23:59:52.551Z
"230,37,20;487,38,16;484,35,15;124,35,15;3912,35,15;482,37,18;481,36,14;486,36,14;",2015-03-04T23:50:09.185Z
"483,36,15;230,37,19;487,38,16;484,35,15;3912,35,15;124,35,15;",2015-03-04T23:49:49.322Z
"482,37,18;481,36,14;486,36,14;485,36,19;",2015-03-04T23:49:11.341Z
"483,36,15;230,37,20;487,38,15;3912,36,14;124,35,15;484,36,14;",2015-03-04T23:39:27.096Z
"483,36,15;230,37,20;487,38,15;484,36,14;3912,36,14;124,35,15;481,36,14;482,37,17;",2015-03-04T23:39:07.144Z
"124,35,15;482,37,17;486,36,13;485,37,18;",2015-03-04T23:38:31.122Z
"482,37,17;481,36,14;485,37,18;483,37,14;230,38,19;487,38,15;",2015-03-04T23:28:40.599Z
"481,36,14;482,37,17;486,37,12;485,37,18;230,37,19;483,37,14;487,38,15;",2015-03-04T23:28:20.546Z
"482,37,17;481,36,14;486,37,12;485,37,18;483,37,14;230,37,19;487,38,15;484,36,14;",2015-03-04T23:28:01.013Z
"487,38,15;3912,36,14;124,36,14;481,36,13;482,38,16;486,37,12;485,37,17;483,37,14;",2015-03-04T23:06:35.069Z
"483,37,14;230,37,19;",2015-03-04T23:05:57.330Z
"484,36,13;487,38,15;3912,36,14;124,36,14;481,36,13;482,38,16;486,37,11;485,38,16;230,37,19;483,37,14;",2015-03-04T22:55:44.008Z
"484,36,13;487,38,15;3912,36,14;124,36,14;482,38,16;481,36,13;486,37,11;485,38,16;",2015-03-04T22:45:14.349Z
"487,38,15;484,36,13;3912,36,14;124,36,14;481,36,13;482,38,16;485,38,16;",2015-03-04T22:44:54.344Z
"485,38,16;230,37,19;",2015-03-04T22:44:16.511Z
"481,36,13;482,38,16;485,38,16;486,37,11;483,37,14;230,37,19;484,36,13;487,38,15;3912,36,13;",2015-03-04T22:34:23.364Z
"482,38,16;481,36,13;485,38,16;486,37,11;483,37,14;230,37,19;484,36,13;3912,39,13;487,38,15;124,36,14;",2015-03-04T22:34:03.830Z
"487,38,15;3912,36,13;484,36,13;124,36,14;481,36,13;482,38,16;",2015-03-04T22:33:25.354Z
"482,38,16;486,37,11;485,38,16;483,37,14;230,37,19;484,36,13;487,38,15;124,36,14;",2015-03-04T22:23:43.800Z
"486,37,12;485,38,16;483,37,14;230,37,19;3912,36,13;484,36,13;487,38,15;",2015-03-04T22:23:23.673Z
"484,36,13;487,38,15;3912,36,14;124,37,14;482,38,16;",2015-03-04T22:22:45.756Z
"3912,36,14;124,36,14;482,38,16;486,37,11;481,36,13;485,37,17;483,37,14;230,37,19;",2015-03-04T21:29:17.456Z
"124,36,14;3912,36,14;481,36,13;482,38,16;486,37,11;485,37,17;483,37,14;230,37,19;",2015-03-04T21:28:57.579Z
"230,37,20;487,38,15;484,36,13;3912,36,14;",2015-03-04T21:28:19.429Z
"230,37,19;483,37,14;487,38,15;484,36,13;3912,36,14;124,36,14;481,36,13;",2015-03-04T21:18:29.318Z
